,State,LGA,lat,lon
416,Oyo,Ibadan North-East,7.401322,3.94465
417,Oyo,Olorunsogo,8.732768,4.155096
418,Oyo,Orelope,8.840438,3.788465
419,Oyo,Iseyin,7.947863,3.618566
420,Ogun,Yewa South,6.885822,3.001659
421,Osun,Ede North,7.724544,4.44048
422,Oyo,Ido,7.381492,3.820851
423,Oyo,Ido,7.382125,3.821789
424,Ogun,Yewa North,7.142393,3.34651
425,Oyo,Ido,7.381486,3.821486
426,Oyo,Ido,7.381824,3.821486
427,Oyo,Ido,7.381824,3.821486
428,Oyo,Ido,7.38147,3.823394
429,Oyo,Ido,7.380356,3.821225
430,Oyo,Ido,7.379833,3.817672
431,Oyo,Ido,7.380356,3.821225
432,Oyo,Iseyin,7.948712,3.617805
433,Ogun,Yewa North,7.142621,3.346408
434,Osun,Orolu,7.847631,4.50525
435,Oyo,Olorunsogo,8.733444,4.158059
436,Lagos,Oshodi-Isolo,6.557487,3.348386
437,Ogun,Yewa South,6.886075,3.003346
438,Ogun,Yewa North,7.142306,3.346366
439,Oyo,Ogo Oluwa,7.932085,4.126176
440,Oyo,Olorunsogo,8.738153,4.150265
441,Osun,Ede South,7.724667,4.441416
442,Ogun,Yewa South,6.886461,3.004487
443,Osun,Orolu,7.860406,4.484
444,Ondo,Akoko South-West,7.462494,5.73313
445,Ondo,Akoko South-West,7.462721,5.732753
446,Ondo,Akoko South-West,7.463112,5.732983
447,Ondo,Akoko South-West,7.462771,5.732284
448,Ondo,Akoko South-West,7.462436,5.731895
449,Ogun,Yewa North,7.142586,3.346376
450,Oyo,Iseyin,7.968405,3.597976
451,Lagos,Ikeja,6.597527,3.342168
452,Lagos,Ikeja,6.597527,3.342168
453,Ogun,Yewa North,7.14262,3.346179
454,Oyo,Ogo Oluwa,7.93117,4.12683
455,Ogun,Yewa South,6.890369,3.012442
456,Oyo,Iseyin,7.968865,3.5979
457,Oyo,Orelope,8.8264,3.748539
458,Osun,Orolu,7.847631,4.50525
