,State,LGA,Health and Safety,Legality,Affordability,Quality,Reliability,Daily Availability,Daytime Availability,Evening Availability,Capacity
0,Cross River,Calabar Municipal,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
1,Cross River,Calabar Municipal,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
2,Delta,Ughelli North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 4,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
3,Bayelsa,Nembe,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 2,Tier 5
4,Cross River,Calabar Municipal,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 2,Tier 2,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 1,Tier 5
5,Cross River,Calabar Municipal,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
6,Cross River,Calabar South,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7,Bayelsa,Yenagoa,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
8,Bayelsa,Yenagoa,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
9,Bayelsa,Yenagoa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
10,Rivers,Obio-Akpor,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 4 / Tier 5,Tier 3,Tier 5
11,Bayelsa,Yenagoa,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
12,Rivers,Obio-Akpor,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
13,Lagos,Ifako-Ijaiye,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
14,Ondo,Akure South,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
15,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,Tier 2,Tier 1,Tier 5
16,Ekiti,Ikere,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
17,Ekiti,Ikere,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 4,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
18,Ekiti,Ikere,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
19,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
20,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
21,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 0,Tier 3,Tier 4 / Tier 5,Tier 0
22,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 3,Tier 5
23,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 2,Tier 5
24,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
25,Ekiti,Ado Ekiti,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
26,Oyo,Lagelu,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 2,Tier 2,Tier 3,Tier 0,Tier 1,Tier 1,Tier 5
27,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 4 / Tier 5,Tier 2,Tier 5
28,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
29,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
30,Ekiti,Ikere,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 5
31,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 4,Tier 3,Tier 4 / Tier 5,Tier 5
32,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
33,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
34,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
35,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
36,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 5
37,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
38,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 1,Tier 1,Tier 5
39,Rivers,Emohua,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
40,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
41,Bayelsa,Ogbia,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
42,Bayelsa,Ogbia,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
43,Bayelsa,Ogbia,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
44,Bayelsa,Ogbia,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
45,Bayelsa,Ogbia,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 4,Tier 3,Tier 4 / Tier 5,Tier 5
46,Bayelsa,Ogbia,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
47,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
48,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
49,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
50,Bayelsa,Ogbia,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
51,Cross River,Calabar South,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
52,Bayelsa,Southern Ijaw,Tier 4 / Tier 5,Tier 0,No Tier,No Tier,Tier 3,Tier 0,Tier 0,Tier 2,Tier 0
53,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
54,Bayelsa,Ogbia,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 2,Tier 2,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
55,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
56,Rivers,Emohua,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 4,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
57,Bayelsa,Kolokuma/Opokuma,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
58,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 5,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
59,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
60,Rivers,Emohua,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
61,Rivers,Emohua,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 4,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
62,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
63,Cross River,Akpabuyo,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
64,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
65,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
66,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
67,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
68,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 4,Tier 0,Tier 0,Tier 2,Tier 5
69,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
70,Delta,Isoko North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
71,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
72,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
73,Bayelsa,Southern Ijaw,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
74,Rivers,Obio-Akpor,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
75,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
76,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
77,Cross River,Akpabuyo,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 0
78,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
79,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 4,Tier 5,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
80,Cross River,Akpabuyo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 4,Tier 0,Tier 0,Tier 2,Tier 5
81,Rivers,Emohua,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
82,Rivers,Emohua,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
83,Rivers,Obio-Akpor,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
84,Rivers,Obio-Akpor,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
85,Rivers,Obio-Akpor,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 2,Tier 5
86,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 3,Tier 0,Tier 4 / Tier 5,Tier 5
87,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
88,Ogun,Abeokuta North,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
89,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
90,Ogun,Abeokuta South,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
91,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 0,Tier 4 / Tier 5,Tier 5
92,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 0,Tier 4 / Tier 5,Tier 5
93,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
94,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
95,Oyo,Ibadan North-West,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 0,Tier 2,Tier 0,Tier 5
96,Ogun,Abeokuta South,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 0,Tier 3,Tier 0,Tier 5
97,Oyo,Oluyole,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 1,Tier 5
98,Oyo,Ibadan North-West,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 4,Tier 3,Tier 0,Tier 4 / Tier 5,Tier 5
99,Ekiti,Emure,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
100,Lagos,Agege,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
101,Oyo,Oluyole,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 0,Tier 1,Tier 5
102,Lagos,Ifako-Ijaiye,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
103,Ekiti,Ado Ekiti,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
104,Ondo,Ondo West,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 1,Tier 1,Tier 5
105,Ekiti,Ado Ekiti,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
106,Oyo,Oluyole,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 3,Tier 5
107,Lagos,Ifako-Ijaiye,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
108,Lagos,Agege,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 5
109,Oyo,Oluyole,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 1,Tier 3,Tier 5
110,Lagos,Ifako-Ijaiye,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 0,Tier 1,Tier 1,Tier 5
111,Lagos,Agege,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
112,Ondo,Ondo West,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
113,Ondo,Ondo West,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 2,Tier 5
114,Lagos,Agege,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 0,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 0
115,Ogun,Abeokuta North,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 5
116,Ogun,Abeokuta North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 0,Tier 4 / Tier 5,Tier 5
