,State,LGA,Health and Safety,Legality,Affordability,Quality,Reliability,Daily Availability,Daytime Availability,Evening Availability,Capacity
7879,Borno,Magumeri,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7880,Bauchi,Darazo,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 2,Tier 2,Tier 5
7881,Borno,Biu,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 5,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7882,Borno,Biu,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 5,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7883,Borno,Dikwa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7884,Borno,Dikwa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7885,Borno,Dikwa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7886,Borno,Dikwa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7887,Taraba,Takum,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 0 / Tier 1 / Tier 2,Tier 0,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 0
7888,Taraba,Takum,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7889,Taraba,Takum,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7890,Taraba,Takum,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7891,Taraba,Ussa,Tier 4 / Tier 5,Tier 0,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7892,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7893,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7894,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7895,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7896,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7897,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7898,Taraba,Ussa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7899,Borno,Damboa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7900,Borno,Damboa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7901,Borno,Damboa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7902,Borno,Bama,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7903,Borno,Bama,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7904,Borno,Bama,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7905,Adamawa,Numan,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
7906,Taraba,Takum,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7907,Taraba,Takum,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7908,Taraba,Takum,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7909,Taraba,Takum,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7910,Gombe,Balanga,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7911,Gombe,Balanga,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7912,Gombe,Balanga,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7913,Niger,Lavun,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 3,Tier 5
7914,Niger,Lavun,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7915,Niger,Lavun,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7916,Niger,Gbako,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7917,Niger,Gbako,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7918,Niger,Gbako,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7919,Niger,Agaie,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 5
7920,Niger,Agaie,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7921,Niger,Agaie,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 4 / Tier 5,Tier 3,Tier 5
7922,Niger,Edati,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7923,Niger,Edati,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 5
7924,Niger,Edati,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7925,Niger,Bida,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
7926,Niger,Bida,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7927,Niger,Bida,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
7928,Niger,Bida,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 3,Tier 5
